,mw_u,mw_p,ks_stat,ks_p,t_stat,t_p,horizon,comparison,symbol
0,181.5,0.7011868278420799,0.2976190476190476,0.3777748450993922,-0.5119710757596787,0.6116379590625883,5,double_top_vs_ma_crossover,SPG
1,86.0,0.4356308552430793,0.3333333333333333,0.5360977695073805,-0.14852470469375215,0.8838840838202684,5,double_top_vs_random,SPG
2,210.0,0.22063785748551057,0.2857142857142857,0.4267572189847371,0.2065634148752645,0.8383123525150485,5,ma_crossover_vs_random,SPG
3,144.5,0.4972093207629331,0.25,0.5961366568718391,-1.0828297335192008,0.28936522502065865,20,double_top_vs_ma_crossover,SPG
4,68.0,0.8398256197101182,0.16666666666666666,0.9984852944874484,-0.6580985174134062,0.5199371651030646,20,double_top_vs_random,SPG
5,180.0,0.7342995544245301,0.20238095238095238,0.8210308712087434,-0.06672636846906208,0.9477319107769939,20,ma_crossover_vs_random,SPG
6,140.5,0.42547741719536636,0.32142857142857145,0.29124130565171,-0.9558578659096733,0.34861518816988646,60,double_top_vs_ma_crossover,SPG
7,61.0,0.5442826205619581,0.3333333333333333,0.5360977695073805,-0.8071075711143444,0.4282601695755659,60,double_top_vs_random,SPG
8,165.0,0.9411813298595393,0.16666666666666666,0.9482270725309945,0.06833578309448067,0.9460578918609086,60,ma_crossover_vs_random,SPG
9,117.0,0.6012640192920475,0.3484848484848485,0.23561962997482433,-0.002456974925864111,0.9980561064078182,5,double_top_vs_ma_crossover,SPGI
10,38.0,0.053046277610995965,0.6666666666666666,0.007859014050964517,-1.9359320767651407,0.06587539232273379,5,double_top_vs_random,SPGI
11,106.0,0.35811847614764925,0.4090909090909091,0.11132383012989198,-1.8902136409925303,0.06826989237224708,5,ma_crossover_vs_random,SPGI
12,101.0,0.2716687670179725,0.36363636363636365,0.20282764762706956,-1.3163871978171942,0.19915824914878616,20,double_top_vs_ma_crossover,SPGI
13,14.0,0.0008986087527771716,0.6666666666666666,0.007859014050964517,-3.5763079073993898,0.0017410793891371257,20,double_top_vs_random,SPGI
14,72.0,0.032014369433263384,0.5,0.02650809320197586,-2.531711962484999,0.018517712230907885,20,ma_crossover_vs_random,SPGI
15,125.0,0.7210045560653725,0.29004329004329005,0.4945845160546278,0.06481457329084474,0.9488119496650781,60,double_top_vs_ma_crossover,SPGI
16,37.0,0.07934705772828109,0.5606060606060606,0.039408969009184384,-1.527042731156671,0.14479634174685824,60,double_top_vs_random,SPGI
17,77.0,0.06951363185963359,0.5,0.02900354751566243,-1.580002696696112,0.13151318990588548,60,ma_crossover_vs_random,SPGI
